,taxiid,start,idotart,tavolsag,viteldij,borravalo,fizmod
25,3514,2016-12-09 09:15:00,600,0.0,10.75,0.0,készpénz
848,4438,2016-12-09 11:00:00,540,0.0,7.75,0.0,készpénz
851,6458,2016-12-09 11:45:00,540,0.0,7.25,0.0,készpénz
761,3649,2016-12-09 14:30:00,1020,0.0,10.25,2.0,bankkártya
357,760,2016-12-09 14:30:00,720,0.0,19.0,0.0,készpénz
135,1901,2016-12-09 15:15:00,840,0.0,9.5,0.0,készpénz
1165,7063,2016-12-09 16:00:00,420,0.0,6.5,0.0,készpénz
264,50,2016-12-09 16:15:00,300,0.0,5.5,3.0,bankkártya
1536,5829,2016-12-09 16:45:00,360,0.0,5.25,0.0,készpénz
792,3433,2016-12-09 18:00:00,60,0.0,3.25,0.0,készpénz
967,4680,2016-12-09 18:15:00,480,0.0,6.25,0.0,készpénz
1065,7517,2016-12-09 18:45:00,840,0.0,9.25,0.0,készpénz
1491,279,2016-12-09 20:00:00,300,0.0,5.25,2.0,bankkártya
1469,1563,2016-12-09 20:45:00,780,0.0,12.75,0.0,készpénz
971,710,2016-12-09 21:45:00,540,0.0,10.25,0.0,készpénz
599,7066,2016-12-09 23:30:00,900,0.0,14.25,0.0,készpénz
1116,1322,2016-12-10 01:45:00,540,0.0,7.75,0.0,készpénz
1339,7541,2016-12-10 11:30:00,300,0.0,5.5,0.0,készpénz
989,3612,2016-12-10 12:45:00,420,0.0,6.5,0.0,készpénz
1643,4106,2016-12-10 16:45:00,660,0.0,7.5,2.0,bankkártya
1083,1463,2016-12-10 18:15:00,300,0.0,5.25,0.0,készpénz
689,7415,2016-12-10 18:45:00,780,0.0,10.0,0.0,készpénz
543,3514,2016-12-10 20:45:00,240,0.0,4.75,0.0,készpénz
1743,5812,2016-12-10 23:00:00,480,0.0,6.75,0.0,készpénz
478,973,2016-12-10 23:00:00,60,0.0,3.5,0.0,készpénz
432,2421,2016-12-11 00:15:00,60,0.0,3.75,0.0,készpénz
1468,7528,2016-12-11 00:30:00,660,0.0,10.25,0.0,készpénz
1785,625,2016-12-11 05:00:00,1500,0.0,45.25,13.55,bankkártya
1551,5472,2016-12-11 17:45:00,360,0.0,6.75,1.0,bankkártya
1322,7210,2016-12-12 14:45:00,540,0.0,7.5,2.0,bankkártya
1478,376,2016-12-12 19:00:00,480,0.0,6.25,0.0,készpénz
788,686,2016-12-12 23:30:00,360,0.0,6.25,0.0,készpénz
446,6317,2016-12-13 10:45:00,300,0.0,5.0,0.0,készpénz
334,8648,2016-12-13 11:15:00,1020,0.0,11.0,1.0,bankkártya
932,505,2016-12-13 11:30:00,420,0.0,6.75,0.0,készpénz
441,2877,2016-12-13 12:00:00,600,0.0,8.0,0.0,készpénz
1786,1152,2016-12-13 14:15:00,540,0.0,6.75,0.0,készpénz
1509,7210,2016-12-13 14:30:00,720,0.0,8.0,0.0,készpénz
1815,6407,2016-12-13 14:30:00,480,0.0,7.25,2.0,bankkártya
959,5367,2016-12-13 15:45:00,1080,0.0,14.75,0.0,készpénz
248,4107,2016-12-13 16:00:00,180,0.0,5.0,0.0,készpénz
1820,2888,2016-12-13 17:15:00,1620,0.0,16.25,0.0,készpénz
183,4770,2016-12-13 17:45:00,600,0.0,11.25,0.0,készpénz
350,8546,2016-12-13 18:00:00,540,0.0,6.25,0.0,készpénz
36,5114,2016-12-13 18:15:00,5100,0.0,48.75,6.0,bankkártya
393,3862,2016-12-13 19:00:00,420,0.0,6.25,0.0,készpénz
34,4359,2016-12-13 19:00:00,780,0.0,7.5,0.0,készpénz
765,2175,2016-12-13 19:15:00,840,0.0,8.75,0.0,készpénz
147,4870,2016-12-13 20:15:00,120,0.0,3.75,0.0,készpénz
724,7355,2016-12-13 21:45:00,300,0.0,5.75,0.0,készpénz
1143,1383,2016-12-14 03:00:00,180,0.0,4.75,0.0,készpénz
739,3040,2016-12-14 09:15:00,900,0.0,13.0,2.0,bankkártya
1706,6317,2016-12-14 09:45:00,420,0.0,6.75,2.0,bankkártya
981,2041,2016-12-14 12:45:00,420,0.0,6.5,1.0,bankkártya
1556,760,2016-12-14 13:45:00,60,0.0,4.0,0.0,készpénz
793,393,2016-12-14 15:15:00,600,0.0,7.25,0.0,készpénz
232,6749,2016-12-14 16:15:00,360,0.0,6.0,0.0,készpénz
1586,7092,2016-12-14 17:15:00,780,0.0,9.0,2.0,bankkártya
1762,7748,2016-12-14 18:00:00,1020,0.0,9.5,2.0,bankkártya
360,8661,2016-12-14 18:30:00,60,0.0,3.25,0.0,készpénz
526,8016,2016-12-14 18:30:00,1140,0.0,13.75,2.95,bankkártya
1343,1243,2016-12-14 20:00:00,780,0.0,8.25,3.0,bankkártya
1043,2918,2016-12-14 20:15:00,540,0.0,7.0,1.4,bankkártya
238,1347,2016-12-15 05:00:00,60,0.0,3.25,0.0,készpénz
1427,7523,2016-12-15 08:45:00,1740,0.0,20.0,5.0,bankkártya
106,1262,2016-12-15 10:00:00,240,0.0,5.0,0.0,készpénz
742,4872,2016-12-15 12:30:00,540,0.0,7.5,0.0,készpénz
1196,1751,2016-12-15 13:45:00,660,0.0,9.0,0.0,készpénz
41,8397,2016-12-15 14:00:00,335,0.0,5.0,0.0,készpénz
945,3891,2016-12-15 18:45:00,240,0.0,5.25,0.0,készpénz
198,2066,2016-12-15 20:30:00,240,0.0,6.0,1.0,bankkártya
1005,5796,2016-12-15 21:00:00,300,0.0,5.75,2.0,bankkártya
1546,1164,2016-12-15 22:15:00,360,0.0,6.75,2.0,bankkártya
315,5636,2016-12-16 00:30:00,660,0.0,8.0,1.0,bankkártya
1267,5143,2016-12-16 01:30:00,300,0.0,7.0,2.0,bankkártya
514,7210,2016-12-16 08:00:00,360,0.0,5.75,0.0,készpénz
3,5400,2016-12-16 08:45:00,300,0.0,5.25,2.0,bankkártya
338,548,2016-12-16 09:30:00,360,0.0,6.0,0.0,készpénz
976,2448,2016-12-16 12:15:00,540,0.0,8.25,2.0,bankkártya
311,6744,2016-12-16 13:00:00,420,0.0,6.25,2.0,bankkártya
1224,2663,2016-12-16 13:15:00,11,0.0,3.25,0.0,készpénz
307,8648,2016-12-16 14:45:00,2160,0.0,27.75,4.0,bankkártya
1837,629,2016-12-16 15:45:00,1200,0.0,13.5,0.0,készpénz
938,6317,2016-12-16 17:00:00,840,0.0,8.75,0.0,készpénz
389,3238,2016-12-16 18:00:00,1140,0.0,9.75,0.0,készpénz
431,6830,2016-12-16 19:00:00,60,0.0,3.25,0.0,készpénz
1711,8232,2016-12-16 22:00:00,1140,0.0,14.0,0.0,készpénz
632,3356,2016-12-16 22:00:00,660,0.0,14.25,0.0,készpénz
1712,6,2016-12-16 23:30:00,840,0.0,20.5,5.35,bankkártya
1407,4106,2016-12-17 09:00:00,420,0.0,8.25,0.0,készpénz
1681,1383,2016-12-17 12:30:00,240,0.0,6.0,2.0,bankkártya
179,7810,2016-12-17 13:15:00,60,0.0,0.01,0.0,készpénz
421,1385,2016-12-17 15:30:00,1980,0.0,21.0,0.0,készpénz
1445,7776,2016-12-17 16:00:00,780,0.0,8.5,3.0,bankkártya
1539,6562,2016-12-17 16:45:00,360,0.0,5.75,0.0,készpénz
377,3014,2016-12-17 16:45:00,420,0.0,5.75,4.0,bankkártya
791,3865,2016-12-17 16:45:00,360,0.0,6.5,2.0,bankkártya
78,1587,2016-12-17 21:00:00,2220,0.0,44.5,5.0,bankkártya
773,7992,2016-12-17 22:15:00,3120,0.0,43.5,12.0,bankkártya
513,8117,2016-12-17 22:30:00,600,0.0,7.0,0.0,készpénz
843,6094,2016-12-17 23:15:00,480,0.0,6.25,0.0,készpénz
108,53,2016-12-18 01:15:00,300,0.0,5.5,0.0,készpénz
490,3209,2016-12-18 05:30:00,660,0.0,10.0,0.0,készpénz
687,1633,2016-12-18 11:00:00,660,0.0,9.5,0.0,készpénz
1858,7523,2016-12-18 15:00:00,480,0.0,7.0,1.0,bankkártya
679,4680,2016-12-18 19:15:00,480,0.0,6.75,0.0,készpénz
507,3089,2016-12-19 02:30:00,240,0.0,6.25,2.0,bankkártya
838,1030,2016-12-19 09:15:00,480,0.0,6.75,1.0,bankkártya
1753,3721,2016-12-19 14:15:00,720,0.0,9.5,0.0,készpénz
1790,3773,2016-12-19 14:30:00,480,0.0,6.5,0.0,készpénz
1622,6989,2016-12-19 14:45:00,300,0.0,5.25,0.0,készpénz
704,7257,2016-12-19 15:15:00,840,0.0,9.25,0.0,készpénz
1241,6407,2016-12-19 15:15:00,180,0.0,4.75,0.0,készpénz
358,4653,2016-12-19 16:15:00,600,0.0,7.5,2.0,bankkártya
1211,4254,2016-12-19 17:30:00,240,0.0,4.5,2.0,bankkártya
463,1736,2016-12-19 20:30:00,180,0.0,4.5,2.0,bankkártya
262,6902,2016-12-20 02:45:00,300,0.0,6.25,2.0,bankkártya
1060,6016,2016-12-20 08:15:00,660,0.0,20.1,0.0,ismeretlen
745,788,2016-12-20 08:45:00,600,0.0,7.75,4.38,bankkártya
1608,7375,2016-12-20 15:45:00,480,0.0,6.25,0.0,készpénz
1544,1989,2016-12-20 16:45:00,300,0.0,5.75,0.0,készpénz
111,6923,2016-12-20 17:00:00,240,0.0,4.25,0.0,készpénz
184,5475,2016-12-20 18:00:00,300,0.0,5.5,0.0,készpénz
1380,1261,2016-12-20 18:45:00,600,0.0,7.25,1.5,bankkártya
236,5114,2016-12-20 19:30:00,2040,0.0,32.25,8.05,bankkártya
996,1924,2016-12-20 19:30:00,540,0.0,7.5,0.0,készpénz
970,8014,2016-12-20 21:30:00,180,0.0,5.0,0.0,készpénz
1350,602,2016-12-20 23:15:00,1080,0.0,15.75,1.0,bankkártya
1031,1460,2016-12-21 13:45:00,900,0.0,9.25,0.0,készpénz
571,3017,2016-12-21 14:45:00,120,0.0,4.5,2.0,bankkártya
1853,7923,2016-12-21 16:30:00,1620,0.0,21.5,0.0,készpénz
1164,433,2016-12-21 17:15:00,1020,0.0,18.25,0.0,készpénz
664,6744,2016-12-21 18:00:00,1080,0.0,9.75,0.0,készpénz
829,3684,2016-12-21 19:15:00,480,0.0,7.0,0.0,készpénz
592,451,2016-12-21 21:00:00,420,0.0,6.75,2.0,bankkártya
90,4638,2016-12-21 23:00:00,600,0.0,8.75,3.0,bankkártya
548,5357,2016-12-22 01:30:00,660,0.0,10.5,1.0,bankkártya
290,8232,2016-12-22 13:00:00,840,0.0,14.25,0.0,készpénz
190,2121,2016-12-22 14:15:00,420,0.0,6.25,2.0,bankkártya
750,5729,2016-12-22 14:15:00,240,0.0,4.75,0.0,készpénz
1714,8193,2016-12-22 14:45:00,780,0.0,8.0,2.0,bankkártya
832,8636,2016-12-22 17:30:00,480,0.0,6.5,0.0,készpénz
1805,1482,2016-12-22 17:45:00,300,0.0,5.5,0.0,készpénz
394,8022,2016-12-22 17:45:00,780,0.0,9.5,0.0,készpénz
955,2457,2016-12-22 20:00:00,960,0.0,11.0,0.0,készpénz
